source,endpoint,queries,errors,success_rate,popularity_raw,note
Homosaurus,https://data.ihlia.nl/PoolParty/sparql/homosaurus,9047806,5649,0.999376,9047806,Known Grafana anomaly
AAT,http://vocab.getty.edu/aat/sparql,1081062,85614,0.920806,1081062,
Cultural Heritage Thesaurus,https://data.cultureelerfgoed.nl/PoolParty/sparql/term/id/cht,914856,13629,0.985103,914856,
RKD,https://api.rkd.triply.cc/datasets/rkd/RKD-SDO-Knowledge-Graph/sparql,544835,9256,0.983011,544835,
Wikidata - all entities,https://query.wikidata.org/sparql#entities-all,277474,32172,0.884054,277474,
WO2 Thesaurus,https://data.niod.nl/PoolParty/sparql/WO2_Thesaurus,273434,2097,0.992331,273434,
Cultural Heritage Thesaurus - Materials,https://data.cultureelerfgoed.nl/PoolParty/sparql/term/id/cht/materials,245996,622,0.997472,245996,
AAT - Materials,http://vocab.getty.edu/aat/sparql/materials,235111,21933,0.906712,235111,
NMVW thesaurus,https://api.colonialcollections.nl/datasets/nmvw/thesaurus/services/thesaurus/sparql,216328,1705,0.992118,216328,
Wikidata - persons,https://query.wikidata.org/sparql#entities-persons,165215,12296,0.925576,165215,
Archaeological Basic Register (ABR),https://data.cultureelerfgoed.nl/PoolParty/sparql/term/id/abr,160511,532,0.996686,160511,
data.bibliotheken.nl - persons,http://data.bibliotheken.nl/thesp/sparql,137619,3340,0.975730,137619,
IED thesaurus,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/ied,133156,4655,0.965041,133156,
GeoNames,https://geonames.netwerkdigitaalerfgoed.nl,117903,8752,0.925769,117903,
Frisian Thesaurus,https://graph.friesland.regiotermen.nl/repositories/friese_thesaurus,95129,24,0.999748,95129,
AAT - Processes & techniques,http://vocab.getty.edu/aat/sparql/processes-and-techniques,88409,11302,0.872162,88409,
WO2 Biographies,https://data.niod.nl/PoolParty/sparql/WO2_biografieen,82360,348,0.995775,82360,
Printers thesaurus,http://data.bibliotheken.nl/thes/drukkers/sparql,81963,1055,0.987128,81963,
data.beeldengeluid.nl/id/datadownload/0031,https://data.beeldengeluid.nl/id/datadownload/0031,76679,1744,0.977256,76679,
Westerbork thesaurus,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/westerbork,74779,3569,0.952273,74779,
Wikidata - streets,https://query.wikidata.org/sparql#entities-streets,72603,5246,0.927744,72603,
GeoNames,https://geonames.netwerkdigitaalerfgoed.nl#nl-be-de,68743,4886,0.928924,68743,
AAT - Styles & periods,http://vocab.getty.edu/aat/sparql/styles-and-periods,66817,8749,0.869060,66817,
Wikidata - places,https://query.wikidata.org/sparql#entities-places,64549,5424,0.915971,64549,
data.cultureelerfgoed.nl/PoolParty/sparql/koloniaalverleden,https://data.cultureelerfgoed.nl/PoolParty/sparql/koloniaalverleden,63439,1155,0.981794,63439,
Brinkman thesaurus,http://data.bibliotheken.nl/thes/brinkman/sparql,57202,1163,0.979669,57202,
Cultural Heritage Thesaurus,https://data.cultureelerfgoed.nl/PoolParty/sparql/term/id/cht/styles-and-periods,54378,536,0.990143,54378,
data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb#mw-,https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb#mw-personengroepen,38020,496,0.986954,38020,
data.beeldengeluid.nl/id/datadownload/0032,https://data.beeldengeluid.nl/id/datadownload/0032,32781,712,0.978280,32781,
EuroVoc,http://publications.europa.eu/webapi/rdf/sparql#eurovoc,32202,754,0.976585,32202,
data.beeldengeluid.nl/id/datadownload/0026,https://data.beeldengeluid.nl/id/datadownload/0026,30789,641,0.979181,30789,
data.beeldengeluid.nl/id/datadownload/0029,https://data.beeldengeluid.nl/id/datadownload/0029,30372,679,0.977644,30372,
triplestore.linkedopenlimburg.nl/repositories/canon,https://triplestore.linkedopenlimburg.nl/repositories/canon,29068,23,0.999209,29068,
digitaalerfgoed.poolparty.biz/PoolParty/sparql/agrarischethesaurus,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/agrarischethesaurus,28009,631,0.977472,28009,
data.muziekschatten.nl/sparql/#uitvoeringsmedium,https://data.muziekschatten.nl/sparql/#uitvoeringsmedium,27825,906,0.967439,27825,
data.muziekschatten.nl/sparql/#personen,https://data.muziekschatten.nl/sparql/#personen,27655,1165,0.957874,27655,
data.bibliotheken.nl/id/dataset/corps,http://data.bibliotheken.nl/id/dataset/corps,27559,479,0.982619,27559,
data.beeldengeluid.nl/id/datadownload/0030,https://data.beeldengeluid.nl/id/datadownload/0030,27550,629,0.977169,27550,
data.muziekschatten.nl/sparql/#klassiekewerken,https://data.muziekschatten.nl/sparql/#klassiekewerken,27522,894,0.967517,27522,
terms.personsincontext.org/PoolParty/sparql/ThesaurusHistorischePersoo,https://terms.personsincontext.org/PoolParty/sparql/ThesaurusHistorischePersoonsgegevens#roles,27338,1332,0.951277,27338,
iconclass.org/sparql,https://iconclass.org/sparql,26926,39,0.998552,26926,
api.lod.uba.uva.nl/datasets/ATM/ATM-KG/services/ATM-KG/sparql#adamlink,https://api.lod.uba.uva.nl/datasets/ATM/ATM-KG/services/ATM-KG/sparql#adamlink-addresses,26245,430,0.983616,26245,
api.lod.uba.uva.nl/datasets/ATM/ATM-KG/services/ATM-KG/sparql#adamlink,https://api.lod.uba.uva.nl/datasets/ATM/ATM-KG/services/ATM-KG/sparql#adamlink-streets,26240,429,0.983651,26240,
terms.personsincontext.org/PoolParty/sparql/ThesaurusHistorischePersoo,https://terms.personsincontext.org/PoolParty/sparql/ThesaurusHistorischePersoonsgegevens#source-types,25401,1213,0.952246,25401,
terms.personsincontext.org/PoolParty/sparql/ThesaurusHistorischePersoo,https://terms.personsincontext.org/PoolParty/sparql/ThesaurusHistorischePersoonsgegevens#events,25250,1191,0.952832,25250,
Women's Thesaurus,https://vrouwenthesaurus.org/PoolParty/sparql/conceptid,25023,581,0.976781,25023,
data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb#mw-,https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb#mw-genresstijlen,24562,471,0.980824,24562,
data.muziekschatten.nl/sparql/#onderwerpen,https://data.muziekschatten.nl/sparql/#onderwerpen,24397,905,0.962905,24397,
data.beeldengeluid.nl/id/datadownload/0027,https://data.beeldengeluid.nl/id/datadownload/0027,24326,595,0.975541,24326,
Gouda Time Machine - streets,https://www.goudatijdmachine.nl/id/straten#streets,24207,7768,0.679101,24207,
data.brabantcloud.nl/gebouwen/query/,https://data.brabantcloud.nl/gebouwen/query/,24131,19,0.999213,24131,
linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/,https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/,24010,2908,0.878884,24010,
data.beeldengeluid.nl/id/datadownload/0028,https://data.beeldengeluid.nl/id/datadownload/0028,23849,614,0.974255,23849,
api.druid.datalegend.net/datasets/IISG/List-of-Religious-Denominations,https://api.druid.datalegend.net/datasets/IISG/List-of-Religious-Denominations/sparql,18143,189,0.989583,18143,
api.druid.datalegend.net/datasets/IISG/Taxonomy-of-Religions/sparql,https://api.druid.datalegend.net/datasets/IISG/Taxonomy-of-Religions/sparql,18122,175,0.990343,18122,
data.cultureelerfgoed.nl/PoolParty/sparql/rights,https://data.cultureelerfgoed.nl/PoolParty/sparql/rights,11664,509,0.956361,11664,
digitaalerfgoed.poolparty.biz/PoolParty/sparql/data/rdf,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/data/rdf,294,0,1.000000,294,
